GENE_NAME	GSM4217259	GSM4217258	GSM4217257	GSM4217256	GSM4217251	GSM4217250	GSM4217253	GSM4217252	GSM4217255	GSM4217254	GSM4217261	GSM4217260
OAS1C	ENSMUSG00000001166	2.78	2.59	3.12	2.51	2.36	1.54	2.96	2.31	3.81	3.00	6.27	3.85
OAS1H	ENSMUSG00000001168	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.02	0.00	0.00
OCRL	ENSMUSG00000001173	16.92	10.43	5.35	5.16	11.22	7.22	17.07	7.48	7.77	7.28	10.28	6.07
CALM1	ENSMUSG00000001175	124.25	125.91	196.89	174.49	169.82	162.05	134.78	126.38	171.47	169.61	101.83	103.87
AGPAT3	ENSMUSG00000001211	47.65	43.75	69.00	52.62	48.86	31.50	56.13	41.86	50.01	51.59	46.76	42.07
SLC26A3	ENSMUSG00000001225	0.05	0.00	0.06	0.00	0.17	0.00	0.11	0.07	0.01	0.00	0.16	0.01
SEMA6B	ENSMUSG00000001227	0.21	0.16	0.18	0.22	0.39	0.22	0.32	0.14	0.15	0.16	0.07	0.06
UHRF1	ENSMUSG00000001228	142.30	185.73	166.45	184.44	191.28	233.82	133.92	206.94	137.75	175.63	207.06	173.56
DPP9	ENSMUSG00000001229	11.77	12.07	13.84	16.16	15.67	15.69	12.49	15.24	12.26	12.80	12.13	12.65
RAMP2	ENSMUSG00000001240	0.08	0.25	0.09	0.18	0.23	0.61	0.00	0.08	0.31	0.09	0.07	0.00
LSR	ENSMUSG00000001247	1.48	0.29	3.68	0.37	1.87	0.10	2.62	0.22	2.09	0.22	0.88	0.09
GRAMD1A	ENSMUSG00000001248	35.58	42.96	30.05	35.03	22.16	28.79	29.51	28.51	30.65	40.26	6.43	6.60
HPN	ENSMUSG00000001249	0.00	0.08	0.11	0.09	0.33	0.05	0.14	0.62	0.07	0.35	0.45	0.85
GABRG1	ENSMUSG00000001260	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00
CKB	ENSMUSG00000001270	9.16	14.05	3.70	4.34	1.16	0.98	1.03	0.54	2.94	3.45	0.41	0.54
SP1	ENSMUSG00000001280	41.26	42.13	43.47	48.66	41.88	43.02	34.81	49.68	41.23	39.46	26.83	33.41
ITGB7	ENSMUSG00000001281	28.85	33.99	116.37	121.93	22.36	22.04	43.92	48.33	66.78	82.50	30.39	28.33
MYG1	ENSMUSG00000001285	40.65	34.05	60.26	54.75	37.18	39.71	47.88	45.43	58.26	63.23	38.53	40.45
RARG	ENSMUSG00000001288	2.16	2.41	2.91	4.29	1.23	1.38	0.50	2.00	1.23	2.13	0.15	0.17
PFDN5	ENSMUSG00000001289	129.77	126.52	197.49	194.60	113.82	105.27	184.23	166.40	196.73	202.95	199.73	186.13
EFNB2	ENSMUSG00000001300	0.15	0.09	0.53	0.19	0.17	0.04	0.13	0.14	0.06	0.10	0.19	0.08
RRP15	ENSMUSG00000001305	9.53	17.62	21.73	32.99	19.44	28.39	16.77	18.33	16.12	23.89	20.39	27.17
RND2	ENSMUSG00000001313	0.25	0.10	0.38	0.58	0.07	0.13	0.22	0.08	0.28	0.12	0.32	0.03
SRR	ENSMUSG00000001323	8.07	6.43	4.38	6.10	7.37	6.56	3.96	6.12	5.33	6.53	5.75	7.61
SYNC	ENSMUSG00000001333	0.54	0.50	0.54	0.51	0.46	0.44	0.63	0.60	0.50	0.42	0.43	0.27
FNDC5	ENSMUSG00000001334	0.13	0.14	0.18	0.13	0.05	0.06	0.10	0.13	0.09	0.07	0.02	0.09
ACP5	ENSMUSG00000001348	104.51	51.10	141.62	55.12	119.15	35.66	149.76	48.95	123.14	57.00	47.59	34.52
CNN1	ENSMUSG00000001349	0.23	0.28	0.27	0.26	0.26	0.18	0.56	0.25	0.23	0.11	0.29	0.11
FBXO9	ENSMUSG00000001366	26.68	30.14	21.82	20.15	23.73	26.24	20.76	25.50	26.18	25.45	17.77	24.61
CCDC132	ENSMUSG00000001376	11.42	14.16	10.87	13.75	15.87	20.56	12.07	16.41	11.94	11.94	10.03	14.66
HARS	ENSMUSG00000001380	27.53	30.24	34.34	34.09	37.10	42.45	30.31	33.84	38.16	39.50	34.15	38.31
ZMAT2	ENSMUSG00000001383	20.48	19.73	20.45	18.70	19.99	21.41	19.27	18.50	24.16	22.51	24.94	25.04
UBE2C	ENSMUSG00000001403	80.15	59.70	80.71	68.33	97.34	75.35	69.63	65.66	88.89	68.50	67.57	52.39
SMG5	ENSMUSG00000001415	18.52	20.90	19.66	20.85	19.87	22.77	25.53	20.52	21.65	27.56	21.85	20.00
CCT3	ENSMUSG00000001416	85.17	119.12	117.57	141.37	111.86	152.44	93.54	113.71	121.38	137.94	142.67	152.68
GLMP	ENSMUSG00000001418	18.79	23.27	25.72	24.31	27.00	28.34	25.70	24.29	35.57	40.24	28.25	34.57
MEF2D	ENSMUSG00000001419	27.03	26.72	17.92	27.24	33.12	28.65	20.79	30.31	12.08	18.36	16.66	15.90
TMEM79	ENSMUSG00000001420	0.26	0.05	0.36	0.09	0.21	0.29	0.38	0.26	0.21	0.25	0.18	0.19
SND1	ENSMUSG00000001424	38.13	42.36	48.14	52.41	55.85	56.75	44.08	51.62	45.16	46.62	49.95	42.15
COL18A1	ENSMUSG00000001435	0.09	0.13	0.07	0.11	0.13	0.13	0.15	0.14	0.14	0.14	0.05	0.07
SLC19A1	ENSMUSG00000001436	4.06	6.66	3.69	7.06	4.66	11.98	3.97	5.63	6.29	9.00	6.84	6.59
KPNB1	ENSMUSG00000001440	106.07	122.17	117.29	122.91	128.35	166.07	91.54	127.30	111.54	118.82	90.61	104.93
NPEPPS	ENSMUSG00000001441	76.89	64.16	54.88	50.88	63.42	57.88	48.77	71.12	33.93	34.25	34.25	34.03
TBX21	ENSMUSG00000001444	0.06	0.04	0.16	0.20	0.06	0.00	0.08	0.14	0.04	0.04	1.14	1.40
MRPL10	ENSMUSG00000001445	22.30	20.54	28.31	24.78	25.92	25.02	22.90	24.13	27.64	27.76	27.95	27.77
CYP51	ENSMUSG00000001467	7.81	9.14	20.58	21.36	17.42	23.58	22.75	18.37	24.57	22.34	14.14	24.19
TCF25	ENSMUSG00000001472	77.57	74.58	81.13	74.45	57.10	54.68	73.73	59.93	80.44	88.54	92.40	75.08
TUBB6	ENSMUSG00000001473	0.76	0.82	0.53	0.57	1.39	1.46	0.82	0.78	0.77	0.62	0.43	0.35
DEF8	ENSMUSG00000001482	12.40	7.83	15.40	8.43	10.66	8.80	12.41	6.55	11.79	11.83	27.67	17.19
MEOX1	ENSMUSG00000001493	0.00	0.01	0.03	0.02	0.04	0.04	0.03	0.14	0.03	0.00	0.02	0.00
SOST	ENSMUSG00000001494	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
NKX2-1	ENSMUSG00000001496	0.16	0.04	0.22	0.07	0.03	0.00	0.38	0.05	0.08	0.01	0.08	0.06
PAX9	ENSMUSG00000001497	0.02	0.00	0.00	0.00	0.01	0.00	0.00	0.04	0.00	0.00	0.00	0.00
IRX2	ENSMUSG00000001504	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
COL1A1	ENSMUSG00000001506	0.55	0.20	0.27	0.26	0.10	0.07	0.13	0.15	0.06	0.05	0.03	0.05
ITGA3	ENSMUSG00000001507	0.12	0.02	0.05	0.03	0.12	0.04	0.00	0.04	0.05	0.00	0.09	0.00
SGCA	ENSMUSG00000001508	0.07	0.02	0.00	0.00	0.10	0.18	0.00	0.00	0.03	0.04	0.00	0.00
DLX3	ENSMUSG00000001510	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FOXM1	ENSMUSG00000001517	56.69	37.78	42.40	35.33	58.39	43.21	39.47	43.77	42.40	37.15	29.64	25.10
ITFG2	ENSMUSG00000001518	8.30	8.26	8.11	8.05	8.74	8.50	11.75	7.76	7.78	9.83	13.62	8.86
NRIP2	ENSMUSG00000001520	1.50	1.71	1.57	1.70	1.68	1.25	2.55	1.82	0.96	1.10	2.09	1.86
TULP3	ENSMUSG00000001521	8.75	6.48	5.03	5.01	7.76	8.07	5.53	6.09	4.77	4.75	2.39	2.08
GTF2H4	ENSMUSG00000001524	35.54	30.22	11.70	9.74	10.73	13.14	29.45	25.89	40.57	49.37	11.83	12.49
TUBB5	ENSMUSG00000001525	607.19	575.61	533.18	527.01	565.84	558.16	526.46	495.37	679.00	705.80	658.89	527.63
ELL2	ENSMUSG00000001542	0.20	0.36	0.23	0.23	0.30	0.71	0.34	1.45	0.29	0.15	0.04	0.18
JUP	ENSMUSG00000001552	16.87	20.26	18.14	27.01	2.50	4.84	9.54	10.20	6.79	8.85	0.26	0.71
FKBP10	ENSMUSG00000001555	2.38	3.00	0.58	1.17	0.47	0.71	1.58	1.23	0.50	1.42	0.62	0.19
KLHL10	ENSMUSG00000001558	0.87	0.92	0.82	1.02	0.56	0.99	0.48	0.72	0.66	0.70	0.67	0.63
MNX1	ENSMUSG00000001566	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
NOM1	ENSMUSG00000001569	14.76	17.75	14.44	17.91	15.72	21.35	15.07	16.18	16.10	19.37	15.01	21.54
ERGIC1	ENSMUSG00000001576	14.11	18.41	28.44	29.27	32.70	33.22	16.70	16.97	29.04	30.51	46.42	35.78
TNK1	ENSMUSG00000001583	0.08	0.09	0.11	0.06	0.00	0.09	0.13	0.12	0.06	0.01	0.21	0.07
ACAP1	ENSMUSG00000001588	112.65	136.11	129.47	150.90	115.87	115.88	114.04	130.10	122.22	160.86	118.10	119.83
TCEA3	ENSMUSG00000001604	0.00	0.05	0.26	0.53	0.06	0.15	0.00	0.01	0.12	0.09	0.00	0.00
CSN3	ENSMUSG00000001622	0.19	0.03	0.23	0.00	0.23	0.00	0.36	0.09	0.03	0.08	0.11	0.00
IFRD1	ENSMUSG00000001627	24.63	43.60	28.68	47.70	30.30	40.29	26.10	45.03	38.74	40.93	28.66	48.36
STK38L	ENSMUSG00000001630	3.27	2.58	2.92	2.40	3.28	3.31	3.05	2.86	3.32	2.66	2.71	2.52
BRPF1	ENSMUSG00000001632	24.00	24.83	23.76	24.57	24.32	24.49	28.64	22.68	22.31	26.53	24.05	21.40
AKR1B3	ENSMUSG00000001642	79.19	86.12	98.74	90.21	77.40	91.31	85.63	76.91	92.64	94.77	111.37	112.91
HOXC13	ENSMUSG00000001655	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HOXC11	ENSMUSG00000001656	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
HOXC8	ENSMUSG00000001657	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.02	0.01	0.00	0.00
HOXC6	ENSMUSG00000001661	0.00	0.00	0.27	0.00	0.00	0.05	0.00	0.02	0.00	0.00	0.00	0.00
GSTT1	ENSMUSG00000001663	0.00	0.03	0.07	0.00	0.20	0.28	0.00	0.11	0.33	0.17	0.06	0.14
GSTT3	ENSMUSG00000001665	0.97	0.60	0.08	0.11	0.23	0.14	0.20	0.17	0.17	0.12	1.68	1.36
DDT	ENSMUSG00000001666	24.96	19.38	18.88	18.51	16.48	17.48	17.83	16.10	23.58	22.07	33.86	26.00
TAT	ENSMUSG00000001670	0.08	0.00	0.01	0.00	0.51	0.04	0.73	0.00	0.10	0.02	0.94	0.19
MARVELD3	ENSMUSG00000001672	0.06	0.01	0.16	0.02	0.41	0.00	0.29	0.01	0.08	0.00	1.15	0.37
DDX18	ENSMUSG00000001674	22.33	35.61	45.13	60.56	32.31	45.75	32.42	37.12	29.25	35.38	31.67	38.52
UBL3	ENSMUSG00000001687	19.26	17.75	22.07	18.03	20.13	16.88	24.62	16.88	21.26	21.50	27.24	25.09
GRAMD3	ENSMUSG00000001700	29.96	14.82	46.65	18.53	31.26	7.68	31.11	10.52	24.71	9.16	8.81	2.95
EEF1E1	ENSMUSG00000001707	10.99	27.11	15.31	30.89	18.60	36.85	15.21	27.09	16.03	27.47	19.96	39.74
AKT1	ENSMUSG00000001729	59.26	67.26	66.41	76.83	64.55	80.16	80.83	65.23	78.16	98.11	73.17	68.91
CLDN15	ENSMUSG00000001739	1.48	1.79	1.95	2.02	3.08	4.71	1.61	2.12	1.69	1.09	0.77	1.19
IL16	ENSMUSG00000001741	105.09	92.25	95.21	50.24	69.83	48.89	83.52	71.78	78.30	71.95	37.45	47.61
TCIRG1	ENSMUSG00000001750	29.99	29.66	26.24	22.07	42.51	55.94	25.15	27.74	31.79	34.56	25.06	20.36
NAGLU	ENSMUSG00000001751	4.00	4.00	4.56	4.23	2.35	2.70	1.99	3.02	3.19	4.25	4.86	4.63
COASY	ENSMUSG00000001755	10.98	9.78	13.52	13.37	9.58	13.62	9.68	10.57	12.39	13.62	12.38	12.77
SMO	ENSMUSG00000001761	8.62	9.11	19.40	28.16	13.52	20.36	20.84	25.61	22.34	26.45	40.93	42.75
TSPAN33	ENSMUSG00000001763	0.32	0.13	0.21	0.04	0.11	0.57	0.19	4.50	0.12	0.05	0.53	0.53
CRNKL1	ENSMUSG00000001767	18.58	17.92	19.03	16.34	23.62	22.63	21.56	19.12	21.97	17.62	17.78	20.45
RIN2	ENSMUSG00000001768	0.32	0.45	0.20	0.15	0.70	0.50	0.29	0.40	0.31	0.17	0.12	0.14
FOLH1	ENSMUSG00000001773	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
CHORDC1	ENSMUSG00000001774	40.49	52.77	52.22	58.07	51.44	61.56	24.34	55.45	44.09	35.12	28.28	57.64
RTCB	ENSMUSG00000001783	51.99	59.74	63.89	71.67	62.47	75.43	72.68	66.25	72.90	77.14	84.11	80.60
PWP1	ENSMUSG00000001785	18.02	22.85	19.82	24.84	24.38	32.18	21.88	24.84	23.75	25.65	23.96	28.03
FBXO7	ENSMUSG00000001786	21.64	21.10	15.83	16.64	17.40	21.43	20.71	21.10	16.35	16.48	13.89	18.39
CAPNS1	ENSMUSG00000001794	69.93	67.47	62.62	58.29	73.87	69.63	59.60	67.52	86.02	83.48	60.51	59.62
LRP3	ENSMUSG00000001802	0.00	0.01	0.02	0.02	0.38	0.06	0.02	0.01	0.03	0.02	0.00	0.00
DSG4	ENSMUSG00000001804	0.04	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.03	0.02	0.00	0.00
EVX2	ENSMUSG00000001815	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.02	0.00
HOXD13	ENSMUSG00000001819	0.00	0.00	0.03	0.00	0.00	0.00	0.03	0.00	0.01	0.00	0.00	0.02
HOXD12	ENSMUSG00000001823	0.02	0.00	0.01	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FOLR1	ENSMUSG00000001827	0.00	0.04	0.00	0.00	0.16	0.00	0.00	0.23	0.04	0.03	0.00	0.06
CLPB	ENSMUSG00000001829	13.98	16.38	17.36	15.83	19.12	19.70	13.36	17.91	19.21	20.60	13.97	14.80
SEPT7	ENSMUSG00000001833	91.55	101.14	92.87	98.14	101.60	94.08	77.87	96.72	98.86	83.41	73.33	102.07
ZDHHC4	ENSMUSG00000001844	26.67	22.86	26.36	20.27	28.11	21.40	36.03	22.53	31.23	32.04	34.89	21.79
RAC1	ENSMUSG00000001847	119.20	132.39	118.81	119.31	148.38	125.64	122.36	126.04	138.83	137.97	123.54	128.19
NUP214	ENSMUSG00000001855	33.90	26.04	22.30	24.99	41.21	37.00	22.76	33.70	24.33	19.88	15.76	17.53
AIF1L	ENSMUSG00000001864	0.10	0.20	1.67	3.24	0.63	5.07	0.13	0.02	2.62	3.67	0.03	0.01
CPA3	ENSMUSG00000001865	1.27	1.02	4.65	1.52	17.23	11.57	6.91	3.25	0.88	0.10	0.68	1.22
LTBP1	ENSMUSG00000001870	79.73	70.31	70.48	70.66	93.31	74.52	71.82	78.55	44.87	42.57	43.77	42.36
UGP2	ENSMUSG00000001891	17.89	19.20	15.64	14.88	27.09	28.18	24.00	27.62	21.15	19.31	18.34	21.62
KCNH6	ENSMUSG00000001901	0.20	0.23	0.09	0.15	0.09	0.06	0.21	0.15	0.13	0.06	0.02	0.01
TRMT1	ENSMUSG00000001909	27.51	35.22	31.93	41.37	42.07	43.76	41.39	37.50	36.96	44.58	45.34	36.01
NACC1	ENSMUSG00000001910	26.25	25.70	26.60	28.14	26.11	27.19	24.80	26.55	25.04	27.31	29.08	21.67
NFIX	ENSMUSG00000001911	1.13	0.95	0.56	1.20	1.55	0.74	0.98	1.03	0.83	1.01	0.79	0.13
SLC1A5	ENSMUSG00000001918	26.30	35.23	27.20	34.01	23.77	41.48	24.09	35.19	36.32	53.09	25.53	29.67
UBA1	ENSMUSG00000001924	69.01	71.99	76.64	75.98	76.46	86.34	71.51	81.34	80.51	82.18	79.19	81.45
VWF	ENSMUSG00000001930	20.07	14.34	15.16	14.42	17.66	15.43	17.19	16.89	8.25	8.79	8.97	9.05
SIAE	ENSMUSG00000001942	5.96	4.62	4.15	3.10	5.44	4.71	3.35	3.90	5.75	5.16	1.99	2.88
VSIG2	ENSMUSG00000001943	0.00	0.08	0.03	0.05	0.13	0.08	0.25	0.01	0.00	0.05	0.05	0.00
ESAM	ENSMUSG00000001946	0.45	0.34	0.29	0.20	0.80	0.48	0.18	0.33	0.32	0.35	0.06	0.09
SPA17	ENSMUSG00000001948	0.36	0.15	0.06	0.00	1.26	0.77	0.47	0.30	0.06	0.10	0.19	0.00
FAM50A	ENSMUSG00000001962	15.27	15.47	17.86	16.62	14.63	19.04	13.65	16.79	17.02	16.88	18.05	20.97
EMD	ENSMUSG00000001964	18.48	19.97	22.82	22.37	22.59	27.93	19.94	23.33	25.25	23.83	28.80	23.91
TACO1	ENSMUSG00000001983	8.19	6.42	9.26	7.54	7.01	8.20	5.89	8.19	9.52	8.42	5.54	9.08
GRIK3	ENSMUSG00000001985	0.01	0.01	0.01	0.01	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
GRIA3	ENSMUSG00000001986	3.17	4.69	2.45	3.24	12.44	17.35	14.05	20.17	3.08	2.34	18.03	24.31
NPAS1	ENSMUSG00000001988	0.27	0.16	0.18	0.20	0.16	0.04	0.29	0.11	0.18	0.34	0.15	0.10
SIPA1L2	ENSMUSG00000001995	2.45	3.09	3.94	4.91	1.52	3.31	2.27	3.90	1.94	3.09	6.32	7.46
AP4E1	ENSMUSG00000001998	17.01	15.14	13.81	14.87	17.14	15.80	15.36	17.35	13.00	11.78	11.18	13.65
BLVRA	ENSMUSG00000001999	16.35	15.62	16.24	16.01	17.33	16.71	12.72	15.41	24.52	21.33	20.24	23.89
PDZD4	ENSMUSG00000002006	5.16	4.88	4.74	3.69	4.66	3.04	3.43	3.30	2.61	1.74	8.96	10.24
SRPK3	ENSMUSG00000002007	1.33	2.39	1.36	1.68	2.71	1.89	2.20	2.90	1.29	1.68	1.51	1.19
IDH3G	ENSMUSG00000002010	62.87	62.75	68.69	61.57	77.28	76.97	55.05	56.27	72.47	76.00	78.09	73.41
PNCK	ENSMUSG00000002012	0.56	0.68	0.87	0.65	0.16	0.36	1.39	0.64	0.75	0.70	3.46	2.85
SSR4	ENSMUSG00000002014	55.03	60.68	61.31	52.28	66.03	67.13	37.42	37.64	67.67	69.54	99.68	82.04
BCAP31	ENSMUSG00000002015	62.11	72.18	61.71	64.70	66.14	76.34	57.72	74.79	80.83	78.36	58.54	72.60
FAM98A	ENSMUSG00000002017	16.76	15.53	17.00	15.77	14.38	16.27	10.75	14.58	12.33	13.69	11.79	15.93
LTBP2	ENSMUSG00000002020	0.13	0.07	0.09	0.08	0.06	0.18	0.14	0.09	0.20	0.06	0.04	0.12
KMT2A	ENSMUSG00000002028	31.32	32.23	20.24	30.76	31.14	33.07	21.01	46.11	13.32	13.33	8.10	13.31
IFT46	ENSMUSG00000002031	39.73	31.07	33.22	30.77	42.60	24.89	33.73	27.43	34.68	29.75	38.11	33.22
TMEM25	ENSMUSG00000002032	0.09	0.14	0.14	0.17	0.15	0.15	0.05	0.10	0.07	0.07	0.13	0.14
CD3G	ENSMUSG00000002033	230.75	291.79	167.20	224.32	142.70	207.02	164.77	203.78	221.28	254.97	315.62	354.14
TRAPPC6A	ENSMUSG00000002043	15.28	13.30	16.07	17.18	10.60	10.83	12.80	11.13	16.59	19.30	24.79	17.11
SUPT6	ENSMUSG00000002052	27.25	27.49	29.02	27.80	29.30	27.73	27.31	26.65	27.45	29.48	24.49	24.71
SPAG5	ENSMUSG00000002055	61.73	39.79	48.26	36.33	66.54	50.66	47.86	44.55	54.87	47.29	33.02	26.01
FOXN1	ENSMUSG00000002057	0.00	0.00	0.03	0.02	0.00	0.00	0.02	0.01	0.00	0.00	0.00	0.00
UNC119	ENSMUSG00000002058	15.45	27.48	18.56	22.33	17.92	35.31	20.81	23.04	21.66	35.18	15.13	11.86
RAB34	ENSMUSG00000002059	2.41	1.05	1.11	1.81	1.70	1.23	2.37	1.37	0.70	0.72	1.82	1.07
SDF2	ENSMUSG00000002064	24.70	25.56	25.85	22.37	22.76	22.64	17.60	21.57	23.41	23.44	20.83	24.18
CCNE1	ENSMUSG00000002068	11.08	17.25	12.73	11.92	11.93	15.33	8.71	11.43	15.06	16.78	10.67	10.10
HSF2BP	ENSMUSG00000002076	0.21	0.00	0.93	0.15	0.00	0.00	1.19	0.08	0.02	0.04	0.02	0.00
BBC3	ENSMUSG00000002083	8.42	1.65	10.48	2.66	6.48	6.12	12.44	1.40	8.47	3.88	11.26	2.20
MYBPC3	ENSMUSG00000002100	0.02	0.05	0.03	0.04	0.05	0.16	0.02	0.07	0.10	0.03	0.02	0.06
PSMC3	ENSMUSG00000002102	81.81	86.03	99.64	82.38	79.15	88.98	92.93	77.15	109.48	100.10	95.67	92.93
ACP2	ENSMUSG00000002103	10.80	9.88	7.03	7.45	7.17	7.97	7.04	6.93	8.34	7.20	5.86	6.70
RAPSN	ENSMUSG00000002104	2.55	5.04	2.27	4.20	3.37	5.87	4.57	3.48	6.82	9.75	2.57	1.25
SLC39A13	ENSMUSG00000002105	8.49	6.54	4.11	3.52	5.39	3.85	6.22	5.77	6.57	5.84	5.32	5.75
CELF2	ENSMUSG00000002107	124.14	133.87	99.57	105.73	143.46	126.36	120.43	130.84	92.21	91.07	112.89	98.27
NR1H3	ENSMUSG00000002108	0.44	0.89	1.74	2.21	0.80	1.66	1.04	1.29	0.81	0.46	1.34	0.72
DDB2	ENSMUSG00000002109	22.98	22.10	14.85	11.79	13.97	14.76	10.47	13.61	21.19	18.42	20.30	20.43
SPI1	ENSMUSG00000002111	6.55	5.79	4.66	4.01	12.27	14.16	3.59	6.91	5.82	4.22	2.94	3.86
SF3A1	ENSMUSG00000002129	34.33	32.30	37.63	36.90	39.14	37.11	35.30	36.10	30.08	31.18	34.27	32.02
STAT6	ENSMUSG00000002147	26.76	29.64	28.16	30.14	26.69	28.55	21.63	27.07	29.17	31.58	38.32	38.83
CLGN	ENSMUSG00000002190	0.02	0.01	0.04	0.01	0.01	0.00	0.02	0.04	0.02	0.01	0.03	0.04
NAPSA	ENSMUSG00000002204	5.52	5.02	5.64	2.74	12.15	10.62	4.18	6.18	8.00	3.99	1.62	2.60
VRK3	ENSMUSG00000002205	31.59	28.63	31.11	29.94	27.69	23.11	25.24	24.68	33.68	31.32	30.62	33.48
SMG9	ENSMUSG00000002210	19.41	16.12	17.78	16.47	15.00	16.69	23.20	17.57	17.49	22.18	23.96	15.46
PAXIP1	ENSMUSG00000002221	12.21	12.71	11.59	10.14	13.00	13.46	12.83	11.99	10.87	12.44	10.63	9.52
RMND5A	ENSMUSG00000002222	126.42	114.53	88.98	72.18	76.05	58.91	101.89	93.36	82.56	72.68	60.11	75.01
MOV10	ENSMUSG00000002227	9.44	10.04	12.63	15.65	13.25	15.76	8.76	12.76	10.49	11.85	6.30	6.00
PPM1J	ENSMUSG00000002228	0.21	0.49	1.12	1.44	0.14	0.10	0.36	0.18	0.62	0.82	0.00	0.00
RHOC	ENSMUSG00000002233	0.95	2.07	0.67	1.58	2.21	2.20	1.86	1.11	0.95	1.39	0.53	0.47
PRR27	ENSMUSG00000002240	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00
TEAD3	ENSMUSG00000002249	0.39	0.33	0.76	0.78	0.11	0.10	0.22	0.30	0.26	0.34	0.68	0.67
PPARD	ENSMUSG00000002250	3.27	3.17	2.63	2.58	3.22	3.84	2.43	4.02	2.64	2.98	2.24	2.44
DEF6	ENSMUSG00000002257	58.48	59.92	62.71	63.54	47.13	50.23	76.96	58.92	61.25	79.53	68.07	53.08
PEG3	ENSMUSG00000002265	0.02	0.00	0.02	0.01	0.02	0.04	0.06	0.02	0.04	0.02	0.02	0.00
ZIM1	ENSMUSG00000002266	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.02	0.00
METRN	ENSMUSG00000002274	20.40	19.13	22.28	21.56	18.68	22.71	17.51	14.65	25.05	29.86	19.91	16.27
LMF1	ENSMUSG00000002279	12.93	10.26	12.15	12.94	12.30	11.21	9.90	11.82	9.40	9.98	10.90	11.07
NARFL	ENSMUSG00000002280	10.66	8.38	8.84	7.44	8.82	7.10	10.72	8.21	10.27	11.90	14.77	10.16
ANGPTL4	ENSMUSG00000002289	1.73	4.66	3.36	7.61	3.01	7.21	3.86	4.86	4.56	8.38	3.76	6.51
DBF4	ENSMUSG00000002297	49.59	50.15	46.54	43.66	56.10	57.41	49.07	53.11	50.52	45.75	31.37	37.21
DAXX	ENSMUSG00000002307	16.08	17.36	17.15	16.68	15.25	16.01	19.19	16.89	17.66	20.83	19.06	18.77
CD320	ENSMUSG00000002308	2.94	3.42	5.01	6.10	5.11	7.88	1.62	3.66	5.05	6.88	4.77	4.59
IPO4	ENSMUSG00000002319	14.48	22.47	23.25	29.21	15.49	25.28	13.27	14.51	22.00	27.34	19.96	21.60
TM9SF1	ENSMUSG00000002320	38.14	39.10	33.21	39.09	26.22	24.05	20.70	25.37	41.52	40.94	23.17	24.80
REC8	ENSMUSG00000002324	0.24	0.31	0.30	1.12	0.59	0.54	0.37	0.45	0.38	0.22	0.22	0.54
IRF9	ENSMUSG00000002325	11.08	14.87	10.39	12.92	8.69	8.31	6.26	11.02	8.58	9.25	7.95	11.44
GMPR2	ENSMUSG00000002326	21.81	21.06	21.86	20.12	16.87	15.44	10.71	13.17	25.23	26.33	15.52	17.96
MDP1	ENSMUSG00000002329	49.01	53.99	52.98	51.83	29.13	20.60	24.63	27.21	72.46	65.78	54.40	62.52
DHRS1	ENSMUSG00000002332	20.62	18.58	19.33	17.26	15.79	19.10	16.76	14.63	28.30	27.23	19.28	18.75
NCAN	ENSMUSG00000002341	0.03	0.01	0.00	0.00	0.00	0.01	0.00	0.01	0.00	0.00	0.01	0.01
TMEM161A	ENSMUSG00000002342	17.37	13.93	14.68	14.42	11.28	14.46	12.55	11.55	18.06	21.38	16.37	18.02
ARMC6	ENSMUSG00000002343	2.96	3.71	4.17	5.68	6.03	7.36	3.48	5.11	4.87	7.29	7.70	7.91
2310045N01RIK	ENSMUSG00000002345	23.49	23.04	30.24	27.09	18.68	22.15	17.76	20.09	24.34	25.56	41.76	40.71
SLC25A42	ENSMUSG00000002346	2.18	1.74	1.71	2.48	1.98	1.91	1.34	1.84	1.24	1.33	1.61	2.24
SNX9	ENSMUSG00000002365	0.60	1.01	0.95	0.81	2.10	1.99	1.13	2.03	1.08	0.45	2.28	2.74
